;sp1;sp2;sp1_inc;sp2_inc;obs_cooccur;prob_cooccur;exp_cooccur;p_lt;p_gt;Negative_association;Positive_association;sp1_name;sp2_name;Experimento
162;1;7;18;29;11;0.107;7.5;0.98737;0.04616;0;1;Ursus.arctos;Crocuta.crocuta;3
163;1;8;18;42;15;0.154;10.8;0.99696;0.01697;0;1;Ursus.arctos;Canis.lupus;3
164;1;9;18;40;11;0.147;10.3;0.7473;0.45559;0;0;Ursus.arctos;Vulpes.vulpes;3
165;1;10;18;2;0;0.007;0.5;0.54907;1;0;0;Ursus.arctos;Vulpes.lagopus;3
166;1;11;18;13;1;0.048;3.3;0.09164;0.98662;0;0;Ursus.arctos;Meles.meles;3
167;1;12;18;53;12;0.195;13.6;0.23216;0.91018;0;0;Ursus.arctos;Homo_neand;3
168;1;13;18;0;0;0;0;1;1;0;0;Ursus.arctos;Homo.sapiens;3
169;2;3;31;7;5;0.044;3.1;0.97385;0.13117;0;0;Ursus.spelaeus;Panthera.spelaea;3
170;2;4;31;6;4;0.038;2.7;0.94385;0.23398;0;0;Ursus.spelaeus;Panthera.leo;3
171;2;5;31;12;5;0.076;5.3;0.55018;0.69547;0;0;Ursus.spelaeus;Panthera.pardus;3
172;2;6;31;10;5;0.063;4.4;0.76994;0.47666;0;0;Ursus.spelaeus;Felis.silvestris;3
173;2;7;31;29;17;0.183;12.8;0.98873;0.03688;0;1;Ursus.spelaeus;Crocuta.crocuta;3
174;2;8;31;42;26;0.266;18.6;0.99997;0.00026;0;1;Ursus.spelaeus;Canis.lupus;3
175;2;9;31;40;22;0.253;17.7;0.99055;0.03216;0;1;Ursus.spelaeus;Vulpes.vulpes;3
176;2;10;31;2;0;0.013;0.9;0.30683;1;0;0;Ursus.spelaeus;Vulpes.lagopus;3
177;2;11;31;13;10;0.082;5.8;0.99856;0.00998;0;1;Ursus.spelaeus;Meles.meles;3
178;2;12;31;53;20;0.335;23.5;0.04787;0.9872;1;0;Ursus.spelaeus;Homo_neand;3
179;2;13;31;0;0;0;0;1;1;0;0;Ursus.spelaeus;Homo.sapiens;3
180;3;4;7;6;0;0.009;0.6;0.51821;1;0;0;Panthera.spelaea;Panthera.leo;3
181;3;5;7;12;1;0.017;1.2;0.65599;0.74918;0;0;Panthera.spelaea;Panthera.pardus;3
182;3;6;7;10;0;0.014;1;0.32217;1;0;0;Panthera.spelaea;Felis.silvestris;3
183;3;7;7;29;4;0.041;2.9;0.90122;0.30998;0;0;Panthera.spelaea;Crocuta.crocuta;3
184;3;8;7;42;6;0.06;4.2;0.9775;0.14503;0;0;Panthera.spelaea;Canis.lupus;3
185;3;9;7;40;4;0.057;4;0.64962;0.6599;0;0;Panthera.spelaea;Vulpes.vulpes;3
186;3;10;7;2;1;0.003;0.2;0.9913;0.1913;0;0;Panthera.spelaea;Vulpes.lagopus;3
187;3;11;7;13;1;0.019;1.3;0.61407;0.77945;0;0;Panthera.spelaea;Meles.meles;3
188;3;12;7;53;3;0.076;5.3;0.05419;0.99232;0;0;Panthera.spelaea;Homo_neand;3
189;3;13;7;0;0;0;0;1;1;0;0;Panthera.spelaea;Homo.sapiens;3
190;4;5;6;12;0;0.015;1;0.3087;1;0;0;Panthera.leo;Panthera.pardus;3
191;4;6;6;10;1;0.012;0.9;0.79837;0.61817;0;0;Panthera.leo;Felis.silvestris;3
192;4;7;6;29;5;0.036;2.5;0.99638;0.04076;0;1;Panthera.leo;Crocuta.crocuta;3
193;4;8;6;42;4;0.051;3.6;0.77833;0.54436;0;0;Panthera.leo;Canis.lupus;3
194;4;9;6;40;4;0.049;3.4;0.82017;0.48303;0;0;Panthera.leo;Vulpes.vulpes;3
195;4;10;6;2;0;0.002;0.2;0.83478;1;0;0;Panthera.leo;Vulpes.lagopus;3
196;4;11;6;13;1;0.016;1.1;0.69191;0.72324;0;0;Panthera.leo;Meles.meles;3
197;4;12;6;53;3;0.065;4.5;0.1491;0.97239;0;0;Panthera.leo;Homo_neand;3
198;4;13;6;0;0;0;0;1;1;0;0;Panthera.leo;Homo.sapiens;3
199;5;6;12;10;5;0.024;1.7;0.99895;0.0102;0;1;Panthera.pardus;Felis.silvestris;3
200;5;7;12;29;8;0.071;5;0.98828;0.05257;0;0;Panthera.pardus;Crocuta.crocuta;3
201;5;8;12;42;7;0.103;7.2;0.57096;0.67826;0;0;Panthera.pardus;Canis.lupus;3
202;5;9;12;40;8;0.098;6.9;0.85395;0.34415;0;0;Panthera.pardus;Vulpes.vulpes;3
203;5;10;12;2;0;0.005;0.3;0.68447;1;0;0;Panthera.pardus;Vulpes.lagopus;3
204;5;11;12;13;3;0.032;2.2;0.85039;0.39146;0;0;Panthera.pardus;Meles.meles;3
205;5;12;12;53;9;0.13;9.1;0.60386;0.67939;0;0;Panthera.pardus;Homo_neand;3
206;5;13;12;0;0;0;0;1;1;0;0;Panthera.pardus;Homo.sapiens;3
207;6;7;10;29;5;0.059;4.1;0.82684;0.3975;0;0;Felis.silvestris;Crocuta.crocuta;3
208;6;8;10;42;6;0.086;6;0.62957;0.64118;0;0;Felis.silvestris;Canis.lupus;3
209;6;9;10;40;9;0.082;5.7;0.99786;0.02282;0;1;Felis.silvestris;Vulpes.vulpes;3
210;6;10;10;2;0;0.004;0.3;0.73292;1;0;0;Felis.silvestris;Vulpes.lagopus;3
211;6;11;10;13;4;0.027;1.9;0.98458;0.08083;0;0;Felis.silvestris;Meles.meles;3
212;6;12;10;53;7;0.108;7.6;0.45709;0.80713;0;0;Felis.silvestris;Homo_neand;3
213;6;13;10;0;0;0;0;1;1;0;0;Felis.silvestris;Homo.sapiens;3
214;7;8;29;42;22;0.249;17.4;0.99484;0.02018;0;1;Crocuta.crocuta;Canis.lupus;3
215;7;9;29;40;18;0.237;16.6;0.82768;0.32525;0;0;Crocuta.crocuta;Vulpes.vulpes;3
216;7;10;29;2;1;0.012;0.8;0.83188;0.66046;0;0;Crocuta.crocuta;Vulpes.lagopus;3
217;7;11;29;13;6;0.077;5.4;0.75787;0.46712;0;0;Crocuta.crocuta;Meles.meles;3
218;7;12;29;53;20;0.314;22;0.2043;0.91717;0;0;Crocuta.crocuta;Homo_neand;3
219;7;13;29;0;0;0;0;1;1;0;0;Crocuta.crocuta;Homo.sapiens;3
220;8;9;42;40;27;0.343;24;0.9578;0.10896;0;0;Canis.lupus;Vulpes.vulpes;3
221;8;10;42;2;1;0.017;1.2;0.64348;0.84348;0;0;Canis.lupus;Vulpes.lagopus;3
222;8;11;42;13;11;0.111;7.8;0.99294;0.04115;0;1;Canis.lupus;Meles.meles;3
223;8;12;42;53;29;0.454;31.8;0.09366;0.97266;0;0;Canis.lupus;Homo_neand;3
224;8;13;42;0;0;0;0;1;1;0;0;Canis.lupus;Homo.sapiens;3
225;9;10;40;2;1;0.016;1.1;0.67702;0.81988;0;0;Vulpes.vulpes;Vulpes.lagopus;3
226;9;11;40;13;11;0.106;7.4;0.99622;0.02497;0;1;Vulpes.vulpes;Meles.meles;3
227;9;12;40;53;29;0.433;30.3;0.3316;0.84265;0;0;Vulpes.vulpes;Homo_neand;3
228;9;13;40;0;0;0;0;1;1;0;0;Vulpes.vulpes;Homo.sapiens;3
229;10;11;2;13;0;0.005;0.4;0.66087;1;0;0;Vulpes.lagopus;Meles.meles;3
230;10;12;2;53;0;0.022;1.5;0.05631;1;0;0;Vulpes.lagopus;Homo_neand;3
231;10;13;2;0;0;0;0;1;1;0;0;Vulpes.lagopus;Homo.sapiens;3
232;11;12;13;53;9;0.141;9.8;0.38898;0.83323;0;0;Meles.meles;Homo_neand;3
233;11;13;13;0;0;0;0;1;1;0;0;Meles.meles;Homo.sapiens;3
234;12;13;53;0;0;0;0;1;1;0;0;Homo_neand;Homo.sapiens;3
235;1;2;18;34;9;0.125;8.7;0.66068;0.5522;0;0;Ursus.arctos;Ursus.spelaeus;4
236;1;3;18;6;2;0.022;1.5;0.82797;0.48794;0;0;Ursus.arctos;Panthera.spelaea;4
237;1;4;18;7;2;0.026;1.8;0.749;0.58271;0;0;Ursus.arctos;Panthera.leo;4
238;1;5;18;12;2;0.044;3.1;0.34911;0.8784;0;0;Ursus.arctos;Panthera.pardus;4
239;1;6;18;10;4;0.037;2.6;0.92927;0.22776;0;0;Ursus.arctos;Felis.silvestris;4
240;1;7;18;30;11;0.11;7.7;0.98165;0.06226;0;0;Ursus.arctos;Crocuta.crocuta;4
241;1;8;18;43;15;0.158;11.1;0.99547;0.02364;0;1;Ursus.arctos;Canis.lupus;4
242;1;9;18;39;10;0.143;10;0.60021;0.616;0;0;Ursus.arctos;Vulpes.vulpes;4
243;1;10;18;2;0;0.007;0.5;0.54907;1;0;0;Ursus.arctos;Vulpes.lagopus;4
244;1;11;18;12;0;0.044;3.1;0.0194;1;1;0;Ursus.arctos;Meles.meles;4
245;1;12;18;52;11;0.191;13.4;0.12205;0.96082;0;0;Ursus.arctos;Homo_neand;4
246;1;13;18;2;2;0.007;0.5;1;0.06335;0;0;Ursus.arctos;Homo.sapiens;4
247;2;3;34;6;4;0.042;2.9;0.91334;0.30949;0;0;Ursus.spelaeus;Panthera.spelaea;4
248;2;4;34;7;4;0.049;3.4;0.80889;0.46733;0;0;Ursus.spelaeus;Panthera.leo;4
249;2;5;34;12;6;0.083;5.8;0.66486;0.58137;0;0;Ursus.spelaeus;Panthera.pardus;4
250;2;6;34;10;6;0.069;4.9;0.86925;0.33045;0;0;Ursus.spelaeus;Felis.silvestris;4
251;2;7;34;30;18;0.208;14.6;0.97153;0.07831;0;0;Ursus.spelaeus;Crocuta.crocuta;4
252;2;8;34;43;27;0.298;20.9;0.99952;0.00263;0;1;Ursus.spelaeus;Canis.lupus;4
253;2;9;34;39;23;0.271;18.9;0.98629;0.04298;0;1;Ursus.spelaeus;Vulpes.vulpes;4
