;Ursus.spelaeus;Ursus.arctos;Panthera.spelaea;Panthera.leo;Panthera.pardus;Crocuta.crocuta;Canis.lupus;Meles.meles;Vulpes.vulpes;Vulpes.lagopus;Felis.silvestris;Homo_neand;Homo.sapiens;Age
Crocuta.crocuta7;0.976623686;0.985046821;0.954473437;0.96202305;0.921804176;0;0.984100513;0.919775853;0.982179289;0.92337573;0.815160203;0.966011905;0.981762921;34
Canis.lupus7;0.982713997;0.990611478;0.964969061;0.97034093;0.910077373;0.984100513;0;0.921531626;0.990263646;0.92735752;0.816775599;0.95744422;0.988357647;34
Meles.meles7;0.908586439;0.935537109;0.940421419;0.954313;0.947953702;0.919775853;0.921531626;0;0.914524505;0.956766149;0.918385458;0.961417999;0.93348906;34
Vulpes.vulpes7;0.975395336;0.989190797;0.947854843;0.951709307;0.925961948;0.982179289;0.990263646;0.914524505;0;0.907120453;0.818402478;0.964697345;0.984787804;34
Vulpes.lagopus7;0.909286436;0.933767182;0.947502023;0.968613871;0.911260867;0.92337573;0.92735752;0.956766149;0.907120453;0;0.887488277;0.935524923;0.93753175;34
Felis.silvestris7;0.790650639;0.842759807;0.856009847;0.870344493;0.936662997;0.815160203;0.816775599;0.918385458;0.818402478;0.887488277;0;0.895647208;0.84133402;34
Homo_neand7;0.947008982;0.966803068;0.949748506;0.956936533;0.970113331;0.966011905;0.95744422;0.961417999;0.964697345;0.935524923;0.895647208;0;0.969972806;34
Homo.sapiens7;0.967867134;0.985733319;0.962501311;0.970705414;0.932031204;0.981762921;0.988357647;0.93348906;0.984787804;0.93753175;0.84133402;0.969972806;0;34
Ursus.spelaeus8;0;0.973204477;0.960083553;0.957557831;0.889623973;0.977100205;0.983705207;0.908003314;0.97561469;0.90744436;0.793542076;0.946787539;0.969396622;35
Ursus.arctos8;0.973204477;0;0.962095795;0.967325436;0.931019139;0.985288181;0.989852375;0.935465671;0.988834436;0.931874211;0.848622187;0.967940172;0.986383731;35
Panthera.spelaea8;0.960083553;0.962095795;0;0.977834799;0.901699899;0.955180074;0.965596473;0.940554213;0.947681481;0.945915176;0.859500549;0.949002935;0.962037857;35
Panthera.leo8;0.957557831;0.967325436;0.977834799;0;0.922798547;0.962262189;0.969952567;0.952548666;0.950775762;0.966854528;0.870350779;0.954930558;0.96981217;35
Panthera.pardus8;0.889623973;0.931019139;0.901699899;0.922798547;0;0.92213622;0.907152303;0.945272963;0.924771655;0.908869167;0.939112157;0.969595349;0.933033132;35
Crocuta.crocuta8;0.977100205;0.985288181;0.955180074;0.962262189;0.92213622;0;0.984664913;0.920768845;0.982516155;0.924116453;0.824233455;0.966988214;0.982431453;35
Canis.lupus8;0.983705207;0.989852375;0.965596473;0.969952567;0.907152303;0.984664913;0;0.92001527;0.990211234;0.924568263;0.817727302;0.957338917;0.988755418;35
Meles.meles8;0.908003314;0.935465671;0.940554213;0.952548666;0.945272963;0.920768845;0.92001527;0;0.914109388;0.956169077;0.919594903;0.959970967;0.932325497;35
Vulpes.vulpes8;0.97561469;0.988834436;0.947681481;0.950775762;0.924771655;0.982516155;0.990211234;0.914109388;0;0.905519107;0.821864074;0.96586859;0.986040876;35
Vulpes.lagopus8;0.90744436;0.931874211;0.945915176;0.966854528;0.908869167;0.924116453;0.924568263;0.956169077;0.905519107;0;0.887223445;0.934986636;0.935765919;35
Felis.silvestris8;0.793542076;0.848622187;0.859500549;0.870350779;0.939112157;0.824233455;0.817727302;0.919594903;0.821864074;0.887223445;0;0.89995041;0.846980818;35
Homo_neand8;0.946787539;0.967940172;0.949002935;0.954930558;0.969595349;0.966988214;0.957338917;0.959970967;0.96586859;0.934986636;0.89995041;0;0.971116232;35
Homo.sapiens8;0.969396622;0.986383731;0.962037857;0.96981217;0.933033132;0.982431453;0.988755418;0.932325497;0.986040876;0.935765919;0.846980818;0.971116232;0;35
Ursus.spelaeus9;0;0.972846009;0.96035954;0.957643458;0.890634586;0.977246779;0.983977044;0.908918327;0.975736304;0.906855998;0.797436141;0.94747569;0.969685401;36
Ursus.arctos9;0.972846009;0;0.961559012;0.967040432;0.932264006;0.985287783;0.989694667;0.936140137;0.988936329;0.93171481;0.852410328;0.968559101;0.986490591;36
Panthera.spelaea9;0.96035954;0.961559012;0;0.978038745;0.902528399;0.955669901;0.965853874;0.940553992;0.948207263;0.945677035;0.862644764;0.950249177;0.961932984;36
Panthera.leo9;0.957643458;0.967040432;0.978038745;0;0.922390756;0.962828483;0.97008994;0.952258426;0.951370512;0.965945693;0.871565434;0.955124597;0.969830829;36
Panthera.pardus9;0.890634586;0.932264006;0.902528399;0.922390756;0;0.923666156;0.907713124;0.944659513;0.925718208;0.908134522;0.940377838;0.969612553;0.933800231;36
Crocuta.crocuta9;0.977246779;0.985287783;0.955669901;0.962828483;0.923666156;0;0.985043579;0.92187289;0.982571946;0.924806089;0.8296348;0.967554219;0.982492246;36
Canis.lupus9;0.983977044;0.989694667;0.965853874;0.97008994;0.907713124;0.985043579;0;0.920405405;0.99041352;0.924183121;0.820756804;0.958032836;0.989152105;36
Meles.meles9;0.908918327;0.936140137;0.940553992;0.952258426;0.944659513;0.92187289;0.920405405;0;0.915288318;0.955470518;0.920015218;0.959592667;0.93160172;36
Vulpes.vulpes9;0.975736304;0.988936329;0.948207263;0.951370512;0.925718208;0.982571946;0.99041352;0.915288318;0;0.905968005;0.826030969;0.966416209;0.986541322;36
Vulpes.lagopus9;0.906855998;0.93171481;0.945677035;0.965945693;0.908134522;0.924806089;0.924183121;0.955470518;0.905968005;0;0.887053186;0.93562365;0.9354103;36
Felis.silvestris9;0.797436141;0.852410328;0.862644764;0.871565434;0.940377838;0.8296348;0.820756804;0.920015218;0.826030969;0.887053186;0;0.90309651;0.850375733;36
Homo_neand9;0.94747569;0.968559101;0.950249177;0.955124597;0.969612553;0.967554219;0.958032836;0.959592667;0.966416209;0.93562365;0.90309651;0;0.971262532;36
Homo.sapiens9;0.969685401;0.986490591;0.961932984;0.969830829;0.933800231;0.982492246;0.989152105;0.93160172;0.986541322;0.9354103;0.850375733;0.971262532;0;36
Ursus.spelaeus10;0;0.971325259;0.960966784;0.956954014;0.888988383;0.976653264;0.983969601;0.908674523;0.975644688;0.901534125;0.802505338;0.947296768;0.968911981;37
Ursus.arctos10;0.971325259;0;0.960508603;0.96481748;0.933669395;0.985104917;0.98882209;0.937254332;0.988855889;0.92839702;0.859416052;0.970020728;0.98682712;37
Panthera.spelaea10;0.960966784;0.960508603;0;0.978882691;0.899855605;0.955909503;0.966806274;0.94058227;0.948549028;0.941413315;0.865026687;0.949510732;0.961184893;37
Panthera.leo10;0.956954014;0.96481748;0.978882691;0;0.919035641;0.961781342;0.969588879;0.95086595;0.950261691;0.962552651;0.873447746;0.952967489;0.968317784;37
Panthera.pardus10;0.888988383;0.933669395;0.899855605;0.919035641;0;0.924796478;0.906923109;0.942027847;0.925725858;0.90686561;0.942806987;0.969266936;0.935434154;37
Crocuta.crocuta10;0.976653264;0.985104917;0.955909503;0.961781342;0.924796478;0;0.984935372;0.923362615;0.982890624;0.921988724;0.837659091;0.969130827;0.98267999;37
Canis.lupus10;0.983969601;0.98882209;0.966806274;0.969588879;0.906923109;0.984935372;0;0.920786342;0.990261736;0.919719455;0.825663537;0.958777134;0.988715227;37
Meles.meles10;0.908674523;0.937254332;0.94058227;0.95086595;0.942027847;0.923362615;0.920786342;0;0.915871003;0.954989419;0.920688379;0.957503382;0.931345191;37
Vulpes.vulpes10;0.975644688;0.988855889;0.948549028;0.950261691;0.925725858;0.982890624;0.990261736;0.915871003;0;0.902393904;0.832097802;0.967785442;0.986909606;37
